No,Jenis Ikan,Jaring Insan Hanyut,Lainnya,Jumlah,,,
1,Belanak,251.5,38.5,289.8,,,
2,Kakap,219.6,0,219.6,,,
3,Sebelah,71.5,119.5,191.3,,,
4,Pari,0,0,4.5,,,
5,Gulamah,835.2,151.8,987,,,
6,Bawal Hitam ,,0,,,,
7,Golok/Parang,0,,,,,
8,Ikan Lainnya,341.7,0,341.7,,,
9,Udang Windu ,0,541.3,541.3,,,
10,Udang Putih ,113.5,860.5,974,,,
11,Cumi-Cumi,0,0,0,,,
12,Kepiting ,248.5,0,248.5,,,
